Tipo,URL,Loja,Produto
Checkout,https://ae888e.myshopify.com/cart/51243680432415:10,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243680432415:10,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141224563000:1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141224563000:1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/add?id=51141224563000&quantity=1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/add?id=51141224563000&quantity=1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141224563000:2,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141224563000:2,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141224563000:3,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141224563000:3,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141224563000:5,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141224563000:5,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141224563000:10,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141224563000:10,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243681284383:1,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243681284383:1,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/add?id=51243681284383&quantity=1,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/add?id=51243681284383&quantity=1,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243681284383:2,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243681284383:2,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243681284383:3,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243681284383:3,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243681284383:5,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243681284383:5,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243681284383:10,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243681284383:10,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141212111160:1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141212111160:1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/add?id=51141212111160&quantity=1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/add?id=51141212111160&quantity=1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141212111160:2,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141212111160:2,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141212111160:3,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141212111160:3,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141212111160:5,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141212111160:5,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141212111160:10,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141212111160:10,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243679973663:1,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243679973663:1,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/add?id=51243679973663&quantity=1,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/add?id=51243679973663&quantity=1,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243679973663:2,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243679973663:2,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243679973663:3,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243679973663:3,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243679973663:5,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243679973663:5,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243679973663:10,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243679973663:10,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141213454648:1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141213454648:1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/add?id=51141213454648&quantity=1,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/add?id=51141213454648&quantity=1,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141213454648:2,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141213454648:2,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141213454648:3,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141213454648:3,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141213454648:5,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141213454648:5,SADERSTORE,N/A
Checkout,https://nkgzhm-1d.myshopify.com/cart/51141213454648:10,WIFI MONEY,N/A
Checkout,https://tpsfragrances.shop/cart/51141213454648:10,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/51243680235807:1,SADERSTORE,N/A
Checkout,https://tpsperfumeshop.shop/cart/51243680235807:1,SADERSTORE,N/A
Checkout,https://ae888e.myshopify.com/cart/add?id=51243680235807&quantity=1,SADERSTORE,N/A
