ID,Handle,Title,Description,SKU,Price_Regular,Price_Sale,On_Sale,Discount_Percent,Currency,Category,Brands,Primary_Brand,Tags,Main_Image,Gallery_Images,Is_Combo,Stock_Status,Stock_Quantity,Weight,Dimensions,Created_At,Updated_At
26,kit-of-3-fragrances-16,3-Piece Premium Fragrance Collection Set 16,Description for Combo Of 3 Fragrances 16,FRAG-0026-E3678F,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/la-vie-est-belle-lancome-mon-guerlain-si-passione-giorgio-armani-main.png,,true,,,,,2025-08-23T22:37:57.912499,2025-08-23T22:45:54.488565
27,kit-of-3-fragrances-17,3-Piece Premium Fragrance Collection Set 17,Description for Combo Of 3 Fragrances 17,FRAG-0027-CB85D6,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/terre-d-hermes-l-homme-ideal-guerlain-spicebomb-viktor-rolf-main.png,,true,,,,,2025-08-23T22:37:57.912658,2025-08-23T22:45:54.488697
28,kit-of-3-fragrances-18,3-Piece Premium Fragrance Collection Set 18,Description for Combo Of 3 Fragrances 18,FRAG-0028-7F3501,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/acqua-di-parma-colonia-man-eau-fraiche-versace-ck-one-main.png,,true,,,,,2025-08-23T22:37:57.912819,2025-08-23T22:45:54.488815
29,kit-of-3-fragrances-19,3-Piece Premium Fragrance Collection Set 19,Description for Combo Of 3 Fragrances 19,FRAG-0029-2940C2,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-19-main.png,,true,,,,,2025-08-23T22:37:57.912963,2025-08-23T22:45:54.488932
30,kit-of-3-fragrances-2,3-Piece Premium Fragrance Collection Set 2,Description for Combo Of 3 Fragrances 2,FRAG-0030-D074B4,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-2-main.png,,true,,,,,2025-08-23T22:37:57.913137,2025-08-23T22:45:54.489026
31,kit-of-3-fragrances-20,3-Piece Premium Fragrance Collection Set 20,Description for Combo Of 3 Fragrances 20,FRAG-0031-091572,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-20-main.png,,true,,,,,2025-08-23T22:37:57.913300,2025-08-23T22:45:54.489119
32,kit-of-3-fragrances-21,3-Piece Premium Fragrance Collection Set 21,Description for Combo Of 3 Fragrances 21,FRAG-0032-B55A63,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-21-main.png,,true,,,,,2025-08-23T22:37:57.913582,2025-08-23T22:45:54.489261
33,kit-of-3-fragrances-22,3-Piece Premium Fragrance Collection Set 22,Description for Combo Of 3 Fragrances 22,FRAG-0033-9D55DE,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-22-main.png,,true,,,,,2025-08-23T22:37:57.913881,2025-08-23T22:45:54.489413
34,kit-of-3-fragrances-23,3-Piece Premium Fragrance Collection Set 23,Description for Combo Of 3 Fragrances 23,FRAG-0034-C00076,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-23-main.png,,true,,,,,2025-08-23T22:37:57.914243,2025-08-23T22:45:54.489551
35,kit-of-3-fragrances-24,3-Piece Premium Fragrance Collection Set 24,Description for Combo Of 3 Fragrances 24,FRAG-0035-90E0A7,49.9,,false,0,GBP,Fragrance Sets,Multi-Brand,Multi-Brand,Multi-Brand; authentic; collection; combo; fragrance; fragrance sets; gift-set; perfume; scent; set; uk,/images/products/combos/main/3pc-premium-fragrance-collection-set-24-main.png,,true,,,,,2025-08-23T22:37:57.914564,2025-08-23T22:45:54.489672
